rights_statement,record_count,rights_category
"Photo: (c) Peter, some rights reserved (CC BY-NC);",1156,cc_by_nc
"Photo: (c) Nathan Odgers, some rights reserved (CC BY-NC);",1122,cc_by_nc
"Photo: (c) ZEALANDIA, some rights reserved (CC BY-NC);",1119,cc_by_nc
"Photo: (c) miro, some rights reserved (CC BY-NC);",1052,cc_by_nc
"Photo: (c) rasshamra, some rights reserved (CC BY-NC);",1016,cc_by_nc
"Photo: (c) Zoe Quested, some rights reserved (CC BY-NC);",1002,cc_by_nc
"Photo: (c) Benjamin Wright, some rights reserved (CC BY-NC);",967,cc_by_nc
"Creative Commons BY-NC 3.0 NZ. Creative Commons Attribution NonCommercial 3.0 New Zealand. You are free to share, copy, distribute and transmit the work or to remix and adapt the work under the following conditions: you must attribute the work in the manner specified by the author or licensor (but not in any way that suggests that they endorse you or your use of the work) and you may not use this work for commercial purposes.",966,cc_by_nc
"Photo: (c) Sue Mcgaw, some rights reserved (CC BY-NC);",965,cc_by_nc
"Photo: (c) John Barraclough, some rights reserved (CC BY-NC);",948,cc_by_nc
"Photo: (c) Oscar, some rights reserved (CC BY-NC);",931,cc_by_nc
"Photo: (c) Nicholas Mayne, some rights reserved (CC BY-NC);",929,cc_by_nc
"Photo: (c) lcolmer, some rights reserved (CC BY-NC);",910,cc_by_nc
"Photo: (c) Tony Steer, some rights reserved (CC BY-NC);",878,cc_by_nc
"Photo: (c) marshy, some rights reserved (CC BY-NC);",877,cc_by_nc
"Photo: (c) Bill Campbell, some rights reserved (CC BY-NC);",874,cc_by_nc
"Photo: (c) Sebastian Doak, some rights reserved (CC BY-NC);",867,cc_by_nc
"Photo: (c) Karen Pratt, some rights reserved (CC BY-NC);",836,cc_by_nc
"Photo: (c) brucedc, some rights reserved (CC BY-NC);",824,cc_by_nc
"Photo: (c) Noah Fenwick, some rights reserved (CC BY-NC);",772,cc_by_nc
"Photo: (c) rubecula, some rights reserved (CC BY-NC);",769,cc_by_nc
"Photo: (c) ryvesie, some rights reserved (CC BY-NC);",763,cc_by_nc
"Photo: (c) alice_shanks, some rights reserved (CC BY-NC);",754,cc_by_nc
"Photo: (c) zealandia2, some rights reserved (CC BY-NC);",747,cc_by_nc
"Photo: (c) Kelvin Perrie, some rights reserved (CC BY-NC);",729,cc_by_nc
"Photo: (c) Uwe Schneehagen, some rights reserved (CC BY-NC);",714,cc_by_nc
"Photo: (c) Sarah Richardson, some rights reserved (CC BY-NC);",707,cc_by_nc
"Photo: (c) zealandia1, some rights reserved (CC BY-NC);",691,cc_by_nc
"Photo: (c) David Wilson, some rights reserved (CC BY-NC);",690,cc_by_nc
"Photo: (c) Trevor Partridge, some rights reserved (CC BY-NC);",673,cc_by_nc
